#
# Correspondance between agency quality codes and BoM quality codes and SOS2
# qualifier.
#
# The table was extracted 
# from http://www.bom.gov.au/water/hrs/qc_doc.shtml
#
# Correspondance between BoM quality codes and SOS2 qualifier was found in
# http://www.bom.gov.au/waterdata/wiski-web-public/Guide%20to%20Sensor%20Observation%20Services%20(SOS2)%20for%20Water%20Data%20%20Online%20v1.0.1.pdf
# 
State,Agency,Agency Quality Code,Description,Bureau Quality code,SOS2 qualifier
VIC,DELWP,36,Measurement for sampling purposes. Rough estimate,C,110
VIC,DELWP,42,Low velocity acoustic record affected by wind or gate opening,E,140
VIC,DELWP,50,Medium editing >Q=15 (1996 on & MW) or HYMAN data import (pre-1996),B,90
VIC,DELWP,75,Height correction applied,B,90
VIC,DELWP,76,Reliable interpolation,B,90
VIC,DELWP,77,Correlation with other station; same variable,B,90
VIC,DELWP,100,Irregular data use with caution,E,140
VIC,DELWP,104,Records estimated,C,110
VIC,DELWP,146,Drawdown - no rating applies,E,140
VIC,DELWP,148,Theoretical rating table applied,C,110
VIC,DELWP,149,Raw data as received from Serco (MW),E,140
VIC,DELWP,150,Rating extrapolated due to insufficient gaugings (Unrel. data - MW),C,110
VIC,DELWP,151,Data lost due to natural causes - NRE approved loss,F,210
VIC,DELWP,152,Refer station file,E,140
VIC,DELWP,153,PROBE OUT OF WATER/BELOW INSTRUMENT THRESHOLD,F,210
VIC,DELWP,155,ABOVE INSTRUMENT THRESHOLD,F,210
VIC,DELWP,160,Backed-up by d/s influence. (Unreliable periodic data - MW),E,140
VIC,DELWP,161,Debris Effecting Sensor.,F,210
VIC,DELWP,165,Suspect or bad data supplied by other authority,E,140
VIC,DELWP,170,Raw unedited data stored in archive (Unrel. accum. data - MW),E,140
VIC,DELWP,180,Equipment malfunction,F,210
VIC,DELWP,190,Data unavailable station discontinued,F,210
VIC,DELWP,200,Data available but not digitised,F,210
VIC,DELWP,201,Data not rec. - no correlation available (Station not op. - MW),F,210
VIC,DELWP,235,Poor Measurement - Not enough verticals or observations; not enough information,E,140
VIC,DELWP,236,Suspect or Incomplete Measurement - Equipment suspect or giving problems causing measurement to be aborted.,E,140
VIC,DELWP,237,Surface Velocities - Velocity measurements taken on surface only.,B,90
VIC,DELWP,238,Control Leaking - Control leaking; either as noted on measurement or chart.,E,140
VIC,DELWP,239,Backed up Flow Measurement - Measurement is affected by backup.,A,10
VIC,DELWP,240,Not Coded Measurement - Measurement not coded as per HYDSYS System.,E,140
VIC,DELWP,250,Rating table suspended,F,210
VIC,DELWP,254,Rating table exceeded,F,210
VIC,DELWP,255,No Data Exists (Lost data - MW),F,210
VIC,Melbourne Water,1,Very good data-no editing required (+/- 1-5mm error or +/-5% deviation from Bulk or Cal check +/-3% and Excellent reference to nearby gauge),A,10
VIC,Melbourne Water,2,Good quality edited data-minor editing only (+/-5% deviation from Bulk or Calibration check +/-3% and Excellent reference to nearby gauge),A,10
VIC,Melbourne Water,3,Linear infill to first value in block (no data loss - Thiess Quality),B,90
VIC,Melbourne Water,7,Very good data/ rating not applicable due to backwater effect,A,10
VIC,Melbourne Water,8,Pool reading only (Thiess Quality),A,10
VIC,Melbourne Water,9,Pool dry - no data collected (Thiess Quality),E,140
VIC,Melbourne Water,14,Unknown quality,E,140
VIC,Melbourne Water,15,Minor editing only (Thiess Quality),A,10
VIC,Melbourne Water,19,Good quality rating extrapolation,A,10
VIC,Melbourne Water,26,Good periodical data (MWH),A,10
VIC,Melbourne Water,27,Good periodical data (Others - not continuous reading),A,10
VIC,Melbourne Water,30,Good accumulated data (MWH - continuous reading)/ Good measurement multi point 40 sec timing,A,10
VIC,Melbourne Water,31,Good accumulated data (Others - continuous reading)/ Good measurement adeq. verts & obs -40sec timing,A,10
VIC,Melbourne Water,32,Fair measurement - weighted mean gauge height/ turbulent flow/ flow angle extreme,E,140
VIC,Melbourne Water,33,3 point measurement - applicable in narrow sections e.g. sewers,E,140
VIC,Melbourne Water,34,Bucket measurement - applicable to weirs/ pipe outflow etc.,E,140
VIC,Melbourne Water,35,Composite measurement - segments taken from several gaugings to create a composite,E,140
VIC,Melbourne Water,36,Measurement for sampling purposes - rough estimate,C,110
VIC,Melbourne Water,41,Good Data not validated by other means,A,10
VIC,Melbourne Water,50,Good or Reliable data-medium editing required (+/- 5-10mm error or +/-10% deviation from Bulk or Cal check +/-5%/ Good ref to nearby gauge),A,10
VIC,Melbourne Water,57,Good/reliable data or rating not applicable due to backwater,A,10
VIC,Melbourne Water,65,Other authorities data (Thiess Quality),B,90
VIC,Melbourne Water,69,Fair quality rating extrapolation,B,90
VIC,Melbourne Water,75,Fair data-major editing required (+/- 10-15mm error or +/-15% deviation from Bulk or Cal check +/-7% and Fair reference to nearby gauge),B,90
VIC,Melbourne Water,76,Fair data/ edited by correlation with another site/ gaps <0.5day filled by interpolation,B,90
VIC,Melbourne Water,77,Reliable data correlation with another station same variable,C,110
VIC,Melbourne Water,79,Fair data/ rating not applicable due to backwater effect,B,90
VIC,Melbourne Water,82,Linear interpolation across gap in records,B,90
VIC,Melbourne Water,101,Reliable data estimate using good correlation with other variable/ Estimated Rating or regenerated velocity sewerage data,C,110
VIC,Melbourne Water,120,Estimated data not using correlation (ave. dry weather hydrograph used) or Rating extrapolated,C,110
VIC,Melbourne Water,130,Estimated periodical data/ slightly suspect staff gauge readings,C,110
VIC,Melbourne Water,140,"Estimated accumulated data/ slightly suspect check bottle reading, etc.",C,110
VIC,Melbourne Water,147,Raw unverified data from source system (e.g. SCADA/ Logger),E,140
VIC,Melbourne Water,148,Theoretical rating table applied,C,110
VIC,Melbourne Water,149,Raw data as received from contractor/ only quality codes changed,B,90
VIC,Melbourne Water,150,Poor data/ historical rating or rating not verified/ use with caution at clients discretion,F,210
VIC,Melbourne Water,151,Poor or unverified data. Use with caution (+/- 15-25mm error or +/-20% deviation from Bulk or Cal check +/-10% and poor ref to nearby gauge),F,210
VIC,Melbourne Water,153,Probe out of water or outside instrument threshold,F,210
VIC,Melbourne Water,155,Poor data due to reasons beyond the control of hydrographic contractor,F,210
VIC,Melbourne Water,157,Poor data/ rating not applicable due to backwater or drawdown effect,F,210
VIC,Melbourne Water,160,Unreliable data (>25mm error) or unreliable periodical data,F,210
VIC,Melbourne Water,161,Unreliable data due to reasons beyond the control of hydrographic contractor,F,210
VIC,Melbourne Water,170,Unreliable accumulated data/ suspect check reading,F,210
VIC,Melbourne Water,201,Station not commissioned - instrument not installed or known not to be working or no sewerage data,F,210
VIC,Melbourne Water,204,Unknown Quality (perhaps introduced from another agency),E,140
VIC,Melbourne Water,235,Poor measurement - not enough verticals or observations,F,210
VIC,Melbourne Water,236,Suspect or incomplete measurement - equipment problems causing measurement to be aborted,F,210
VIC,Melbourne Water,237,Surface velocities - velocity measurement taken on surface only,B,90
VIC,Melbourne Water,238,Control leaking as noted on measurement or chart,B,90
VIC,Melbourne Water,239,Backed up flow measurement - measurement affected by back water,B,90
VIC,Melbourne Water,240,Data lost due to reasons beyond the control of hydrographic contractor,F,210
VIC,Melbourne Water,241,Data lost,F,210
VIC,Melbourne Water,250,Invalid data due to telemetry system fault,F,210
VIC,Melbourne Water,253,No rating table period for site,F,210
VIC,Melbourne Water,254,No data available or rating table exceeded,F,210
VIC,Melbourne Water,255,Gap Quality,F,210
,MDBA,1,Reliable measured continuous data.,A,10
,MDBA,10,Credible continuous data,A,10
,MDBA,20,Reliable Intermittent data.,A,10
,MDBA,30,Measured edited fair quality,B,90
,MDBA,40,Modelled/correlated/estimated,C,110
,MDBA,50,Interpolated and edited measured data,C,110
,MDBA,60,Credible Intermittent,C,110
,MDBA,70,Measured data - poor quality,C,110
,MDBA,80,Modelled/correlated/extrapolated/interpolated,C,110
,MDBA,90,Poor Intermittent,C,110
,MDBA,100,Dubious data - see comments,C,110
,MDBA,120,Correlated/interpolated - QC unknown,C,110
,MDBA,132,Manually entered data - QC unknown,C,110
,MDBA,136,Auto/Tele entered data -QC unknown,C,110
,MDBA,138,Daily Point Data,C,110
,MDBA,140,Intermittent - QC unknown,C,110
,MDBA,150,MAXIMUM GOOD QUALITY,C,110
,MDBA,155,Data lost - continuous,F,210
,MDBA,160,Data lost - Intermittent,F,210
,MDBA,213,Missing Data,F,210
,MDBA,240,Unverified Continuous Ops Data,F,210
,MDBA,242,Suspect Continuous Ops Data- Hyaudit failed,F,210
WA,DWER,1,Very good record,A,10
WA,DWER,2,Very good record - Corrections applied,A,10
WA,DWER,3,Good record - Corrections or estimations applied,A,10
WA,DWER,4,Estimated record - Good,C,110
WA,DWER,5,Estimated record - Fair,C,110
WA,DWER,6,Estimated record - Poor,C,110
WA,DWER,10,Estimated record - Not reviewed / quality not known,E,140
WA,DWER,11,Theoretical rating,C,110
WA,DWER,12,Estimated rating,C,110
WA,DWER,24,Rainday within period of accumulated record,B,90
WA,DWER,25,Accumulated record,A,10
WA,DWER,30,"Station data, as supplied by BoM",E,140
WA,DWER,31,Deaccumulated using nearby station,C,110
WA,DWER,32,Deaccumulated using interpolated data,C,110
WA,DWER,33,"Nearby station, data from BoM",E,140
WA,DWER,34,Interpolated daily observations,B,90
WA,DWER,35,Interpolated long term average,C,110
WA,DWER,41,Gauging - Excellent,A,10
WA,DWER,42,Gauging - Good,A,10
WA,DWER,43,Gauging - Fair,B,90
WA,DWER,44,Gauging - Poor,B,90
WA,DWER,100,Sample Group Code - WIN SAMP CUSTODIANS,E,140
WA,DWER,101,Sample Group Code - WIN SAMP CUSTODIANS,E,140
WA,DWER,102,Sample Group Code - WIN SAMP CUSTODIANS,E,140
WA,DWER,103,Sample Group Code - WIN SAMP CUSTODIANS,E,140
WA,DWER,104,Sample Group Code - WIN SITE SAMPLE CUST,E,140
WA,DWER,105,Sample Group Code - WIN SITE SAMPLE CUST,E,140
WA,DWER,106,Sample Group Code - WIN SITE SAMPLE CUST,E,140
WA,DWER,107,Sample Group Code - WIN SITE SAMPLE CUST,E,140
WA,DWER,108,Sample Group Code - WIN INV CUSTODIANS,E,140
WA,DWER,109,Sample Group Code - WIN INV CUSTODIANS,E,140
WA,DWER,110,Sample Group Code - WIN INV CUSTODIANS,E,140
WA,DWER,111,Sample Group Code - WIN INV CUSTODIANS,E,140
WA,DWER,151,Below inlet,F,210
WA,DWER,152,Not available,F,210
WA,DWER,161,Unrated,E,140
